Args in experiment:
Namespace(batch_size=32, checkpoints='./checkpoints/', data='ETTm1', data_path='ETTm1.csv', des='Exp', do_predict=False, enc_in=7, features='M', gpu=0, individual=False, is_training=1, itr=5, learning_rate=0.0001, lradj='type1', model='DLinear', model_id='ETTm1_336_96', moving_avg=25, my_loss='mse', num_bins=100, patience=5, pred_len=96, root_path='./dataset/ETT/', seq_len=336, sigma=0.01, target='OT', test_flop=False, train_epochs=10, train_only=False, use_gpu=True)
Use GPU: cuda:0
>>>>>>>start training : ETTm1_336_96_DLinear_ETTm1_ftM_sl336_pl96_sigma0.01_bins100_lossmse_Exp_0>>>>>>>>>>>>>>>>>>>>>>>>>>
train 34129
val 11425
>>> Start Training
Epoch: 1, Steps: 1066, Train Loss: 40.04355, Time: 72.86s
Validation loss decreased (inf --> 37.066345).  Saving model ...
Epoch: 2, Steps: 1066, Train Loss: 37.69542, Time: 78.58s
Validation loss decreased (37.066345 --> 36.298325).  Saving model ...
Epoch: 3, Steps: 1066, Train Loss: 37.06925, Time: 78.13s
Validation loss decreased (36.298325 --> 35.997246).  Saving model ...
Epoch: 4, Steps: 1066, Train Loss: 36.70370, Time: 78.34s
Validation loss decreased (35.997246 --> 35.837425).  Saving model ...
Epoch: 5, Steps: 1066, Train Loss: 36.44508, Time: 78.07s
Validation loss decreased (35.837425 --> 35.724068).  Saving model ...
Epoch: 6, Steps: 1066, Train Loss: 36.23270, Time: 78.34s
Validation loss decreased (35.724068 --> 35.672012).  Saving model ...
Epoch: 7, Steps: 1066, Train Loss: 36.05590, Time: 78.52s
Validation loss decreased (35.672012 --> 35.617805).  Saving model ...
Epoch: 8, Steps: 1066, Train Loss: 35.90512, Time: 78.93s
Validation loss decreased (35.617805 --> 35.589657).  Saving model ...
Epoch: 9, Steps: 1066, Train Loss: 35.77674, Time: 78.03s
Validation loss decreased (35.589657 --> 35.559929).  Saving model ...
Epoch: 10, Steps: 1066, Train Loss: 35.66230, Time: 77.87s
Validation loss decreased (35.559929 --> 35.535294).  Saving model ...
>>>>>>>testing : ETTm1_336_96_DLinear_ETTm1_ftM_sl336_pl96_sigma0.01_bins100_lossmse_Exp_0<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
test 11425
batch 0 y → probs → restore MSE: 0.000003
batch 1 y → probs → restore MSE: 0.000003
batch 2 y → probs → restore MSE: 0.000003
batch 3 y → probs → restore MSE: 0.000003
batch 4 y → probs → restore MSE: 0.000003
batch 5 y → probs → restore MSE: 0.000003
batch 6 y → probs → restore MSE: 0.000003
batch 7 y → probs → restore MSE: 0.000003
batch 8 y → probs → restore MSE: 0.000003
batch 9 y → probs → restore MSE: 0.000003
batch 10 y → probs → restore MSE: 0.000003
batch 11 y → probs → restore MSE: 0.000003
batch 12 y → probs → restore MSE: 0.000003
batch 13 y → probs → restore MSE: 0.000003
batch 14 y → probs → restore MSE: 0.000003
batch 15 y → probs → restore MSE: 0.000003
batch 16 y → probs → restore MSE: 0.000003
batch 17 y → probs → restore MSE: 0.000003
batch 18 y → probs → restore MSE: 0.000005
batch 19 y → probs → restore MSE: 0.000019
batch 20 y → probs → restore MSE: 0.000051
batch 21 y → probs → restore MSE: 0.000046
batch 22 y → probs → restore MSE: 0.000020
batch 23 y → probs → restore MSE: 0.000008
batch 24 y → probs → restore MSE: 0.000003
batch 25 y → probs → restore MSE: 0.000003
batch 26 y → probs → restore MSE: 0.000003
batch 27 y → probs → restore MSE: 0.000003
batch 28 y → probs → restore MSE: 0.000003
batch 29 y → probs → restore MSE: 0.000003
batch 30 y → probs → restore MSE: 0.000003
batch 31 y → probs → restore MSE: 0.000003
batch 32 y → probs → restore MSE: 0.000003
batch 33 y → probs → restore MSE: 0.000004
batch 34 y → probs → restore MSE: 0.000004
batch 35 y → probs → restore MSE: 0.000004
batch 36 y → probs → restore MSE: 0.000003
batch 37 y → probs → restore MSE: 0.000003
batch 38 y → probs → restore MSE: 0.000003
batch 39 y → probs → restore MSE: 0.000003
batch 40 y → probs → restore MSE: 0.000003
batch 41 y → probs → restore MSE: 0.000003
batch 42 y → probs → restore MSE: 0.000003
batch 43 y → probs → restore MSE: 0.000003
batch 44 y → probs → restore MSE: 0.000003
batch 45 y → probs → restore MSE: 0.000003
batch 46 y → probs → restore MSE: 0.000003
batch 47 y → probs → restore MSE: 0.000003
batch 48 y → probs → restore MSE: 0.000003
batch 49 y → probs → restore MSE: 0.000003
batch 50 y → probs → restore MSE: 0.000003
batch 51 y → probs → restore MSE: 0.000003
batch 52 y → probs → restore MSE: 0.000003
batch 53 y → probs → restore MSE: 0.000003
batch 54 y → probs → restore MSE: 0.000003
batch 55 y → probs → restore MSE: 0.000003
batch 56 y → probs → restore MSE: 0.000003
batch 57 y → probs → restore MSE: 0.000003
batch 58 y → probs → restore MSE: 0.000003
batch 59 y → probs → restore MSE: 0.000003
batch 60 y → probs → restore MSE: 0.000003
batch 61 y → probs → restore MSE: 0.000003
batch 62 y → probs → restore MSE: 0.000003
batch 63 y → probs → restore MSE: 0.000003
batch 64 y → probs → restore MSE: 0.000003
batch 65 y → probs → restore MSE: 0.000003
batch 66 y → probs → restore MSE: 0.000003
