Args in experiment:
Namespace(batch_size=32, checkpoints='./checkpoints/', data='ETTm1', data_path='ETTm1.csv', des='Exp', do_predict=False, enc_in=7, features='M', gpu=0, individual=False, is_training=1, itr=5, learning_rate=0.0001, lradj='type1', model='DLinear', model_id='ETTm1_336_720', moving_avg=25, my_loss='mse', num_bins=100, patience=5, pred_len=720, root_path='./dataset/ETT/', seq_len=336, sigma=0.01, target='OT', test_flop=False, train_epochs=10, train_only=False, use_gpu=True)
Use GPU: cuda:0
>>>>>>>start training : ETTm1_336_720_DLinear_ETTm1_ftM_sl336_pl720_sigma0.01_bins100_lossmse_Exp_0>>>>>>>>>>>>>>>>>>>>>>>>>>
train 33505
val 10801
>>> Start Training
Epoch: 1, Steps: 1047, Train Loss: 35.70015, Time: 277.64s
Validation loss decreased (inf --> 34.881809).  Saving model ...
Epoch: 2, Steps: 1047, Train Loss: 33.73176, Time: 277.26s
Validation loss decreased (34.881809 --> 34.420036).  Saving model ...
Epoch: 3, Steps: 1047, Train Loss: 33.15815, Time: 277.42s
Validation loss decreased (34.420036 --> 34.258446).  Saving model ...
Epoch: 4, Steps: 1047, Train Loss: 32.81439, Time: 277.33s
Validation loss decreased (34.258446 --> 34.171051).  Saving model ...
Epoch: 5, Steps: 1047, Train Loss: 32.56007, Time: 277.38s
EarlyStopping counter: 1 out of 5
Epoch: 6, Steps: 1047, Train Loss: 32.35904, Time: 277.34s
Validation loss decreased (34.171051 --> 34.124233).  Saving model ...
Epoch: 7, Steps: 1047, Train Loss: 32.19079, Time: 277.36s
Validation loss decreased (34.124233 --> 34.114952).  Saving model ...
Epoch: 8, Steps: 1047, Train Loss: 32.04800, Time: 277.41s
EarlyStopping counter: 1 out of 5
Epoch: 9, Steps: 1047, Train Loss: 31.92375, Time: 277.56s
EarlyStopping counter: 2 out of 5
Epoch: 10, Steps: 1047, Train Loss: 31.81592, Time: 277.41s
EarlyStopping counter: 3 out of 5
>>>>>>>testing : ETTm1_336_720_DLinear_ETTm1_ftM_sl336_pl720_sigma0.01_bins100_lossmse_Exp_0<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
test 10801
batch 0 y → probs → restore MSE: 0.000000
batch 1 y → probs → restore MSE: 0.000000
batch 2 y → probs → restore MSE: 0.000000
batch 3 y → probs → restore MSE: 0.000000
batch 4 y → probs → restore MSE: 0.000000
batch 5 y → probs → restore MSE: 0.000000
batch 6 y → probs → restore MSE: 0.000000
batch 7 y → probs → restore MSE: 0.000000
batch 8 y → probs → restore MSE: 0.000000
batch 9 y → probs → restore MSE: 0.000000
batch 10 y → probs → restore MSE: 0.000000
batch 11 y → probs → restore MSE: 0.000000
batch 12 y → probs → restore MSE: 0.000000
batch 13 y → probs → restore MSE: 0.000000
batch 14 y → probs → restore MSE: 0.000000
batch 15 y → probs → restore MSE: 0.000000
batch 16 y → probs → restore MSE: 0.000000
batch 17 y → probs → restore MSE: 0.000000
batch 18 y → probs → restore MSE: 0.000000
batch 19 y → probs → restore MSE: 0.000000
batch 20 y → probs → restore MSE: 0.000000
batch 21 y → probs → restore MSE: 0.000000
