Args in experiment:
Namespace(batch_size=32, checkpoints='./checkpoints/', data='ETTm1', data_path='ETTm1.csv', des='Exp', do_predict=False, enc_in=7, features='M', gpu=0, individual=False, is_training=1, itr=5, learning_rate=0.0001, lradj='type1', model='DLinear', model_id='ETTm1_336_192', moving_avg=25, my_loss='mse', num_bins=100, patience=5, pred_len=192, root_path='./dataset/ETT/', seq_len=336, sigma=0.01, target='OT', test_flop=False, train_epochs=10, train_only=False, use_gpu=True)
Use GPU: cuda:0
>>>>>>>start training : ETTm1_336_192_DLinear_ETTm1_ftM_sl336_pl192_sigma0.01_bins100_lossmse_Exp_0>>>>>>>>>>>>>>>>>>>>>>>>>>
train 34033
val 11329
>>> Start Training
Epoch: 1, Steps: 1063, Train Loss: 38.17738, Time: 92.34s
Validation loss decreased (inf --> 36.076221).  Saving model ...
Epoch: 2, Steps: 1063, Train Loss: 35.98352, Time: 92.02s
Validation loss decreased (36.076221 --> 35.323341).  Saving model ...
Epoch: 3, Steps: 1063, Train Loss: 35.36073, Time: 92.44s
Validation loss decreased (35.323341 --> 35.036102).  Saving model ...
Epoch: 4, Steps: 1063, Train Loss: 34.99261, Time: 92.54s
Validation loss decreased (35.036102 --> 34.938400).  Saving model ...
Epoch: 5, Steps: 1063, Train Loss: 34.73139, Time: 92.03s
Validation loss decreased (34.938400 --> 34.823555).  Saving model ...
Epoch: 6, Steps: 1063, Train Loss: 34.52547, Time: 92.04s
Validation loss decreased (34.823555 --> 34.784344).  Saving model ...
Epoch: 7, Steps: 1063, Train Loss: 34.35529, Time: 92.71s
Validation loss decreased (34.784344 --> 34.749454).  Saving model ...
Epoch: 8, Steps: 1063, Train Loss: 34.21280, Time: 93.32s
EarlyStopping counter: 1 out of 5
Epoch: 9, Steps: 1063, Train Loss: 34.09067, Time: 91.93s
EarlyStopping counter: 2 out of 5
Epoch: 10, Steps: 1063, Train Loss: 33.98191, Time: 92.26s
EarlyStopping counter: 3 out of 5
>>>>>>>testing : ETTm1_336_192_DLinear_ETTm1_ftM_sl336_pl192_sigma0.01_bins100_lossmse_Exp_0<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
test 11329
batch 0 y → probs → restore MSE: 0.000001
batch 1 y → probs → restore MSE: 0.000002
batch 2 y → probs → restore MSE: 0.000002
batch 3 y → probs → restore MSE: 0.000002
batch 4 y → probs → restore MSE: 0.000002
batch 5 y → probs → restore MSE: 0.000001
batch 6 y → probs → restore MSE: 0.000001
batch 7 y → probs → restore MSE: 0.000002
batch 8 y → probs → restore MSE: 0.000002
batch 9 y → probs → restore MSE: 0.000002
batch 10 y → probs → restore MSE: 0.000001
batch 11 y → probs → restore MSE: 0.000001
batch 12 y → probs → restore MSE: 0.000001
batch 13 y → probs → restore MSE: 0.000001
batch 14 y → probs → restore MSE: 0.000001
batch 15 y → probs → restore MSE: 0.000001
batch 16 y → probs → restore MSE: 0.000001
batch 17 y → probs → restore MSE: 0.000001
batch 18 y → probs → restore MSE: 0.000006
batch 19 y → probs → restore MSE: 0.000016
batch 20 y → probs → restore MSE: 0.000018
batch 21 y → probs → restore MSE: 0.000010
batch 22 y → probs → restore MSE: 0.000006
batch 23 y → probs → restore MSE: 0.000003
batch 24 y → probs → restore MSE: 0.000002
batch 25 y → probs → restore MSE: 0.000001
batch 26 y → probs → restore MSE: 0.000001
batch 27 y → probs → restore MSE: 0.000001
batch 28 y → probs → restore MSE: 0.000001
batch 29 y → probs → restore MSE: 0.000001
batch 30 y → probs → restore MSE: 0.000002
batch 31 y → probs → restore MSE: 0.000002
